Player Name,Period Name,Period Number,Date,Position Name,Meta Energy (KJ/kg),Total Player Load,Total Distance,Equivalent Distance,AVG MP,Player Load Per Minute,Meterage Per Minute,Equivalent Distance /min,Time Acceleration /minute,Time Deceleration /minute,HSR time/ minute,HSR dist/min,V b4 per minute,HI MP duration >26watt / min,HI MP Distance > 26w/min,HI MP time/min < HSR,HI MP distance/min < HSR,High COD / minute,Active rest/minute,MP Aerobic Running / minute,Total Duration,Acceleration B2-3 Duration (Gen 2),Deceleration B2-3 Duration (Gen 2),Acceleration B2-3 Distance (Gen 2),Deceleration B2-3 Distance (Gen 2),Velocity Band 1 Total Duration,Velocity Band 2 Total Duration,Velocity Band 3 Total Duration,Velocity Band 4 Total Duration,Velocity Band 5 Total Duration,Velocity Band 6 Total Duration,Velocity Band 1 Total Distance,Velocity Band 2 Total Distance,Velocity Band 3 Total Distance,Velocity Band 4 Total Distance,Velocity Band 5 Total Distance,Velocity Band 6 Total Distance,HSR  duration,HSR distance,HI MP Time > 26 watt,HI MP distance > 26w,HI MP  Duration < HSR,HI MP distance < HSR,Tot CoD,Tot Hi CoD,Metabolic Power Band 1 Total Duration,Metabolic Power Band 1 Total Distance,Acceleration B2-3 Total Efforts (Gen 2),Deceleration B2-3 Total Efforts (Gen 2),Velocity Band 6 Total Effort Count,Passive rest/ Minute,Maximum Velocity,Max Acceleration,Max Deceleration,Average Velocity,Velocity Band 6 Avg Effort Duration,Velocity Band 6 Avg Effort Distance,Average Player Load,AVG PL/ minute,Explosive Efforts,Active/Passive Ratio,Max Vel (kh/p),% True Max Vel,Duration (mins),% of Dist,% of HSR,% of Player Load,% of Sprint Dist,% of Exp EFFS,% of Volume,% of Intensity
Jack Andrus,Session,0,44418,Fullback,11.9,410,2453.7,2751.9,5.2,10.8,64.9,72.8,0.4,0.1,0.1,0.6,0.2,0,3,0.6,2.4,0.4,9,10.7,0.02625,0.000185185,0.000138889,60.3,10.5,0.004108796,0.016365741,0.005625,8.10185E-05,3.47222E-05,0,9.9,1081.6,1306.8,32.5,22.7,0,3.9,22.7,28.3,114.6,0.000277778,91.9,474.6,25.4,0.016990741,590.8,26,38,0,38.8,6,3.5,-4.1,1.1,0,0,136.7,10.8,34,0.231958763,21.6,75.94936709,37.8,24.7112247,5.215661589,37.90801839,0,70.8655303,27.740087,66.04782618
Henry Bernstein,Session,0,44418,Midfielder,24,681.2,4948.8,5557.1,5.2,8.9,64.9,72.9,1.1,0,0,0.3,0.4,0,3.7,0.9,3.4,0.3,10.8,8.5,0.052962963,0.000925926,0.000289352,115,20.8,0.009988426,0.031979167,0.010590278,0.000324074,3.47222E-05,0,23.2,2366.4,2409.4,126.9,22.8,0,3.8,22.8,71.7,283.5,0.000775463,260.7,329.6,18.9,0.034270833,1315.7,60,64,0,38.8,6.4,3.1,-5.7,1.1,0,0,136.2,8.9,56,0.278350515,23.04,83.11688312,76.26666667,48.77208441,13.15838037,57.85188712,0,78.83407817,39.72328601,46.87625535
Jack Brown,Session,0,44418,Midfielder,28.7,821.7,6088.9,6832.4,6.3,10.8,79.9,89.7,0.6,0.1,0.1,0.3,0.5,1.15741E-05,5.2,1.2,4.9,0.5,14.3,9.2,0.052905093,0.000555556,0.000636574,83.6,36.7,0.00787037,0.031712963,0.01275463,0.000462963,4.62963E-05,0,14.7,2808.8,3053.3,186.7,25.1,0,4.4,25.1,97.6,398.4,0.001076389,373.3,691.4,31.5,0.029791667,1457.2,56,90,0,33.8,6.5,3.5,-4.2,1.3,0,0,164.3,10.8,69,0.423076923,23.4,78.31325301,76.18333333,55.57762995,10.20445765,68.82959636,0,128.9525443,52.71284565,62.27288701
Devon Decorte,Session,0,44418,Forward,29.9,763.3,6221.6,6903.3,6.5,10,81.6,90.5,0.4,0,0.1,0.5,0.4,1.15741E-05,4.5,1,4,0.4,12.7,12.1,0.052962963,0.000381944,0.000486111,74.7,26.1,0.008217593,0.028414352,0.015891204,0.000335648,5.78704E-05,0,15.1,2256.8,3781.2,132.3,35.3,0,5.9,35.3,85.6,342.8,0.000914352,307.5,437.4,26,0.028634259,1132.1,53,74,0,32.4,6.8,3.5,-4.3,1.4,0,0,152.7,10,50,0.391975309,24.48,85,76.26666667,53.37686947,6.67029523,64.7068043,0,55.55555556,36.06190491,42.55556961
Jaden Francis,Session,0,44418,Forward,26.5,833.1,5551.2,6362.9,5.8,10.9,72.6,83.2,0.8,0.1,0.1,0.3,0.6,1.15741E-05,5.8,1.3,5.5,0.4,11.5,9,0.053078704,0.000671296,0.000763889,186.5,49.4,0.010532407,0.029988426,0.011909722,0.000543981,4.62963E-05,0,33.7,2398,2880.8,214.7,24.7,0.5,4.1,25.2,107.1,443.6,0.00119213,418.4,434.1,22,0.032615741,1313.4,79,88,0,36.9,6.9,3.8,-4.5,1.2,0,0,166.6,10.9,51,0.311653117,24.84,80.23255814,76.43333333,56.28591267,5.440656632,92.56666667,0.376456671,56.66666667,42.26727186,49.76957437
Antonio Horrozoglou,Session,0,44418,ATT Midfielder,26,715.4,5381.4,6006.2,5.7,9.4,70.6,78.7,0.3,0,0,0.3,0.4,0,3.9,0.9,3.7,0.4,13.2,9.2,0.052962963,0.000243056,0.000277778,64.9,26.6,0.009016204,0.031782407,0.011689815,0.000381944,3.47222E-05,0,20.1,2510.3,2675,153.2,22.2,0,3.7,22.2,73.5,300.9,0.000798611,278.7,454.7,24.4,0.031296296,1228.4,46,70,0,35.5,6.5,3.9,-3.7,1.2,0,0,143.1,9.4,60,0.371830986,23.4,82.27848101,76.26666667,51.90223486,5.552218657,58.62155256,0,154.2629108,54.06778337,63.80376535
Daniel Krueger,Session,0,44418,Center Back,25.5,712.9,5361.3,5910.1,5.6,9.3,70.3,77.5,0.3,0,0.1,0.6,0.4,0,3.8,0.8,3.3,0.3,12.4,9.3,0.052962963,0.000243056,0.000196759,79.5,20.5,0.009537037,0.031215278,0.011701389,0.000358796,8.10185E-05,0,19.3,2448.4,2705.2,145.7,42.1,0,7,42.1,69.4,292.5,0.000717593,250.4,479.8,15.7,0.032164352,1304,35,48,0,36.4,6.8,3.8,-3.9,1.2,0,0,142.6,9.3,44,0.340659341,24.48,79.06976744,76.26666667,60.72692793,17.01149675,77.64910435,0,144.6054614,59.99859808,70.80254145
Luke Martelli,Session,0,44418,Fullback,28.9,758.5,5780.7,6655.7,6.3,9.9,75.6,87.1,0.5,0.1,0.1,0.5,1.1,1.15741E-05,7.2,1.6,6.7,0.3,13.1,9.7,0.053078704,0.000462963,0.000462963,155.2,47.2,0.010046296,0.029259259,0.012719907,0.0009375,5.78704E-05,0,23.5,2340.4,3008.2,370.7,31.4,6.4,5.9,37.8,132,551.1,0.001458333,513.3,335.2,16.5,0.03,1087.1,78,101,1,33.9,7.2,3.4,-5.4,1.3,0.9,6.4,151.7,9.9,42,0.386430678,25.92,81.81818182,76.43333333,52.73562997,4.689250514,67.53107227,3.115215378,132.7696046,52.16815454,61.42783134
Gabriel Oksanen,Session,0,44418,Fullback,23.9,738.8,4913.7,5503.4,5.2,9.7,64.4,72.2,0.3,0,0.1,0.4,0.5,0,3.6,0.8,3.3,0.4,11.1,9.1,0.052962963,0.000243056,0.000486111,75.4,22.8,0.014560185,0.026388889,0.011516204,0.000405093,4.62963E-05,0,22.3,2082.3,2618.3,163.7,27.7,0,4.7,27.7,66.9,278,0.000717593,250.3,442.1,23.6,0.033391204,1019,40,75,0,37.8,6.4,3.5,-3.8,1.1,0,0,147.8,9.7,54,0.293650794,23.04,81.01265823,76.26666667,51.32266261,5.80934986,70.33145225,0,143.1267606,54.11804506,63.86307765
Logan Oliver,Session,0,44418,Midfielder,23.5,634,5037.3,5588.4,5.1,8.3,65.9,73.1,0.3,0,0,0,0.4,0,3.8,0.9,3.8,0.2,13.5,7.3,0.053078704,0.000289352,0.00025463,89.1,21.9,0.010856481,0.032662037,0.009108796,0.000381944,0,0,27.1,2744.8,2105.5,159.4,0,0,0,0,72,292.6,0.000833333,292.6,278.7,11,0.033136574,1350.8,54,66,0,37.5,5.5,3.3,-4.7,1.1,0,0,126.8,8.3,34,0.36,19.8,65.47619048,76.43333333,49.34221051,0,54.37020883,0,115.4922463,43.84093313,51.62255536
Alex Perez,Session,0,44418,Midfielder,26.5,709.6,5535.3,6179.7,5.8,9.3,72.6,81,0.4,0.1,0.1,0.4,0.7,1.15741E-05,5,1.1,4.7,0.3,11.8,10.1,0.052962963,0.000358796,0.000428241,118.8,22.9,0.010243056,0.02912037,0.01287037,0.000625,4.62963E-05,0,22.7,2204.9,3031.2,249.8,26.7,0,4.4,26.7,91.1,383.4,0.00099537,356.7,525.5,18.1,0.031446759,1093.8,55,59,0,35.6,6.5,3.4,-4.2,1.2,0,0,141.9,9.3,38,0.331460674,23.4,83.33333333,76.26666667,51.20635897,9.492914561,67.43187976,0,112.6634275,48.15891615,56.83088881
Matthew Routzahn,Session,0,44418,Midfielder,24.1,691.1,4965.7,5544.1,5.2,9,65,72.5,0.5,0.1,0,0.2,0.3,0,3.5,0.9,3.3,0.2,11.5,9.1,0.053078704,0.000451389,0.000243056,98.2,19,0.013310185,0.027939815,0.011469907,0.000289352,2.31481E-05,0,18.1,2224.5,2597.8,111.5,13.4,0,2.3,13.4,67.8,267.8,0.000752315,254.4,311.6,11,0.033263889,1123.7,54,55,0,37.6,6.1,3.4,-4.1,1.1,0,0,138.2,9,23,0.305851064,21.96,76.25,76.43333333,56.51278314,6.352354454,68.22268944,0,93.22317189,44.86219978,52.82509351
Devon Stopek,Session,0,44418,Center Back,22.8,650.1,4655.5,5278.8,5,8.5,61,69.2,0.5,0.1,0.1,0.6,0.6,1.15741E-05,4.9,1,4.2,0.2,12.3,6.6,0.052962963,0.000439815,0.000497685,146.1,29.8,0.012858796,0.03125,0.008194444,0.000497685,9.25926E-05,0,25.2,2480.4,1902.5,197.2,48.2,1.3,8.2,49.5,87.8,372.3,0.000914352,322.7,371.3,14.2,0.034618056,1227.5,66,54,1,39.2,7,3.7,-5.3,1,0.2,1.3,130,8.5,36,0.31377551,25.2,82.35294118,76.26666667,48.085212,12.99689052,69.83142,1.483990033,130.7799145,52.63548542,62.1135536
CJ Olney,Session,0,44418,Midfielder,24.7,609.8,5076.9,5696.7,5.4,8,66.6,74.7,0.4,0,0.1,0.7,0.6,1.15741E-05,4.6,1,3.9,0.2,11.6,8.5,0.052962963,0.000358796,0.000300926,111,28.2,0.00931713,0.032789352,0.010219907,0.000486111,0.000104167,0,19.9,2419.2,2384,199.9,54,0,9.2,54,81.7,350.9,0.000833333,296.9,247,13.4,0.033483796,1289.4,45,60,0,37.9,6.6,3.9,-4.1,1.1,0,0,122,8,27,0.306068602,23.76,76.57056674,76.26666667,48.12205723,10.70367456,62.8037471,0,99.12426036,44.15074785,52.10096993
Gavin Wetzel,Session,0,44418,Center Back,25.7,680.5,5250.2,5937,5.6,8.9,68.8,77.8,0.6,0,0.1,0.4,0.6,1.15741E-05,4.7,1.1,4.4,0.1,12.7,9.7,0.052962963,0.000543981,0.000416667,88.8,40.9,0.014108796,0.026076389,0.012152778,0.000497685,4.62963E-05,0,17,2203.2,2800.3,199.8,29.7,0,4.9,29.7,86.9,361.8,0.000949074,332.1,383.1,7.9,0.031076389,943.8,52,92,0,35.2,6.7,3.4,-4.4,1.1,0,0,136.1,8.9,27,0.360795455,24.12,73.62637363,76.26666667,57.41698897,12.99647502,74.94003939,0,132.253012,55.52130309,65.51902025
Dominic Wilson,Session,0,44418,Forward,26.4,665.3,5480.9,6107.3,5.8,8.7,71.9,80.1,0.4,0.1,0.1,0.3,0.8,1.15741E-05,6,1.4,5.7,0.3,11.4,9.1,0.052962963,0.000358796,0.000335648,114.8,28.4,0.0096875,0.030347222,0.012106481,0.000706019,4.62963E-05,0,17.3,2312.9,2837.5,289.1,24,0,4.2,24,108.5,458.3,0.001203704,434.3,302.9,16.5,0.032685185,1314.6,69,61,0,37,6.1,3.5,-4.5,1.2,0,0,133.1,8.7,37,0.308108108,21.96,70.11494253,76.26666667,56.96611764,6.463773052,65.22318784,0,127.9613813,51.32289197,60.56460154
Jack Andrus,Activation,1,44418,Fullback,5.2,175.5,1151.3,1210.7,5.8,11.7,76.8,80.7,0.3,0.1,0.3,1.5,0.4,0,3.1,0.4,1.6,0.1,7.2,16.9,0.010416667,4.62963E-05,2.31481E-05,20.4,2.6,0.001053241,0.00587963,0.003356481,5.78704E-05,3.47222E-05,0,3.2,261.5,838.2,25.6,22.7,0,3.9,22.7,9.6,46.7,5.78704E-05,24,300,4,0.006064815,151.9,5,3,0,34.9,6,3.5,-4.1,1.3,0,0,175.5,11.7,1,0.206303725,21.6,75.94936709,15,11.59474793,5.215661589,16.22648104,0,2.084280303,7.024234173,42.14540504
Henry Bernstein,Activation,1,44418,Midfielder,5.3,152.8,1183.7,1233,5.9,10.2,78.9,82.2,0.3,0,0.1,0.8,0.4,0,2.6,0.4,1.8,0,7.2,17.6,0.010416667,4.62963E-05,1.15741E-05,18.2,1.6,0.001516204,0.005208333,0.003576389,6.94444E-05,2.31481E-05,0,5,263.9,874,28.8,11.9,0,2,11.9,8.6,38.9,6.94444E-05,27,188,0,0.005972222,166.5,5,4,0,34.4,6.2,3.1,-3.4,1.3,0,0,152.8,10.2,1,0.209302326,22.32,80.51948052,15,11.66576065,6.867751157,12.97675918,0,1.407751396,6.583604476,39.50162686
Jack Brown,Activation,1,44418,Midfielder,5.6,151.2,1277.3,1344.4,6.2,10.1,85.2,89.6,0.3,0,0.2,1.4,0.4,0,3.3,0.4,1.9,0,8.4,16.8,0.010416667,3.47222E-05,2.31481E-05,17,4,0.001712963,0.004988426,0.003587963,5.78704E-05,3.47222E-05,0,4.3,310.5,913.2,28.7,20.6,0,3.5,20.6,9.9,49.7,6.94444E-05,29.1,376,0,0.005844907,193,6,5,0,33.7,6.5,3.5,-3.3,1.4,0,0,151.2,10.1,2,0.24925816,23.4,78.31325301,15,11.65880647,8.374973207,12.66524884,0,3.737754908,7.287356685,43.72414011
Devon Decorte,Activation,1,44418,Forward,5.4,143.1,1183.8,1234,6,9.5,78.9,82.3,0.3,0,0.2,1.3,0.4,0,2.7,0.3,1.5,0,7.4,18.1,0.010416667,4.62963E-05,1.15741E-05,18.4,2.7,0.001331019,0.005393519,0.003553241,6.94444E-05,3.47222E-05,0,5.6,241.4,886.1,31.8,18.8,0,3.2,18.8,8.4,41.2,5.78704E-05,22.3,96,0,0.005833333,130.4,5,4,0,33.6,6.4,3.5,-3.3,1.3,0,0,143.1,9.5,0,0.220238095,23.04,80,15,10.15615566,3.552451851,12.13093632,0,0,5.167908767,31.0074526
Jaden Francis,Activation,1,44418,Forward,5.6,173.2,1254.1,1340.2,6.2,11.5,83.6,89.3,0.4,0,0.2,1.4,0.4,0,3.2,0.4,1.8,0,7.7,16.7,0.010416667,6.94444E-05,3.47222E-05,30.6,5.2,0.001712963,0.00494213,0.003622685,5.78704E-05,3.47222E-05,0,8.9,275.9,919.8,28.1,20.9,0.5,3.4,21.4,9.5,48.7,6.94444E-05,27.3,244,0,0.005972222,192.4,5,5,0,34.5,6.9,3.8,-4.5,1.4,0,0,173.2,11.5,0,0.223188406,24.84,80.23255814,15,12.71583857,4.603632535,19.24444444,0.376456671,0,7.388074444,44.32844667
Antonio Horrozoglou,Activation,1,44418,ATT Midfielder,5.2,166.6,1144.5,1206.3,5.8,11.1,76.3,80.4,0.4,0,0.1,0.8,0.4,0,2.6,0.4,1.9,0,6.9,17.6,0.010416667,5.78704E-05,2.31481E-05,23.7,3.5,0.002141204,0.004525463,0.003622685,6.94444E-05,1.15741E-05,0,4.1,230.7,865.5,32.8,11.3,0,1.9,11.3,8.2,39.4,6.94444E-05,28.1,288,0,0.006018519,150.3,4,4,0,34.7,6.4,3.9,-3.7,1.3,0,0,166.6,11.1,1,0.198847262,23.04,81.01265823,15,11.03841153,2.826129316,13.65159443,0,2.571048513,6.017436758,36.10462055
Daniel Krueger,Activation,1,44418,Center Back,5.4,150.5,1174.9,1238.4,6,10,78.3,82.6,0.4,0,0.3,1.7,0.3,0,2.8,0.3,1.1,0.1,7,17.9,0.010416667,5.78704E-05,3.47222E-05,24.9,5.5,0.001331019,0.005416667,0.003541667,4.62963E-05,4.62963E-05,0,5.2,247.3,875.9,21.5,25,0,4.1,25,8.5,42,4.62963E-05,17,220,4,0.005960648,147.6,5,5,0,34.4,6.8,3.8,-3.2,1.3,0,0,150.5,10,3,0.203488372,24.48,79.06976744,15,13.30797896,10.10183892,16.39246767,0,9.859463277,9.932349768,59.59409861
Luke Martelli,Activation,1,44418,Fullback,5.4,155.8,1167.8,1238.5,6,10.4,77.9,82.6,0.4,0.1,0.3,2,0.3,0,3.3,0.3,1.3,0,7.7,18,0.010416667,5.78704E-05,3.47222E-05,29.3,7.1,0.001296296,0.005486111,0.003506944,4.62963E-05,3.47222E-05,0,6.2,248.4,864.1,19.2,23.6,6.4,4.5,30,9.5,49.3,5.78704E-05,19.3,140,0,0.005810185,130.2,5,5,1,33.5,7.2,3,-3.8,1.3,0.9,6.4,155.8,10.4,2,0.229850746,25.92,81.81818182,15,10.65349675,3.524404845,13.87124728,3.115215378,6.322362124,7.497345275,44.98407165
Gabriel Oksanen,Activation,1,44418,Fullback,5.3,161.3,1166.9,1220.2,5.9,10.8,77.8,81.3,0.3,0,0.2,1,0.5,0,2.9,0.4,2,0,8,17.3,0.010416667,5.78704E-05,1.15741E-05,20.7,2.1,0.001979167,0.004675926,0.003622685,8.10185E-05,2.31481E-05,0,4.1,234.2,879.4,34.4,14.6,0,2.4,14.6,9.1,43.9,6.94444E-05,29.3,200,0,0.005891204,138.1,5,4,0,33.9,6.4,3.5,-3.1,1.3,0,0,161.3,10.8,0,0.235988201,23.04,81.01265823,15,12.18804872,3.061967796,15.35525616,0,0,6.121054535,36.72632721
Logan Oliver,Activation,1,44418,Midfielder,5.3,162.4,1215.6,1264.7,5.9,10.8,81,84.3,0.2,0,0,0,0.5,0,2.2,0.5,2.2,0,9.8,16.9,0.010416667,3.47222E-05,1.15741E-05,13.4,1.9,0.001689815,0.005243056,0.003368056,6.94444E-05,0,0,8.3,352,821.2,34.1,0,0,0,0,7.1,32.5,8.10185E-05,32.5,200,0,0.005648148,190.3,4,4,0,32.6,5.5,2.6,-3.4,1.4,0,0,162.4,10.8,2,0.300613497,19.8,65.47619048,15,11.90725013,0,13.92700617,0,6.793661548,6.525583571,39.15350143
Alex Perez,Activation,1,44418,Midfielder,5.2,132.2,1160.4,1218.4,5.8,8.8,77.4,81.2,0.3,0,0.2,0.9,0.4,0,2.9,0.5,2,0,7.2,17.4,0.010416667,5.78704E-05,2.31481E-05,22,3.1,0.001319444,0.005405093,0.003564815,6.94444E-05,2.31481E-05,0,4.1,233.1,876.6,32.6,14.1,0,2.3,14.1,9.2,44.1,6.94444E-05,30,212,0,0.005983796,134.5,4,4,0,34.5,6.4,3.4,-4,1.3,0,0,132.2,8.8,0,0.208695652,23.04,82.05128205,15,10.73471338,5.013112184,12.56270364,0,0,5.66210584,33.97263504
Matthew Routzahn,Activation,1,44418,Midfielder,5.2,163.6,1144.1,1194.6,5.8,10.9,76.3,79.6,0.3,0,0.2,0.9,0.4,0,2.7,0.4,1.8,0,8.3,17.6,0.010416667,4.62963E-05,2.31481E-05,19.6,2,0.001585648,0.00525463,0.003449074,6.94444E-05,2.31481E-05,0,4.8,245.2,848.4,32.1,13.4,0,2.3,13.4,8.6,40.8,6.94444E-05,27.4,160,0,0.005798611,119,5,4,0,33.4,6.1,3.4,-4,1.3,0,0,163.6,10.9,1,0.248502994,21.96,76.25,15,13.02057619,6.352354454,16.14995224,0,4.053181387,7.915212854,47.49127712
Devon Stopek,Activation,1,44418,Center Back,5.4,159,1183.4,1240,6,10.6,78.9,82.7,0.3,0,0.2,1.2,0.4,0,2.5,0.3,1.3,0,9.8,16.5,0.010416667,4.62963E-05,1.15741E-05,19.7,2,0.002106481,0.004791667,0.00337963,5.78704E-05,3.47222E-05,0,5.4,302.9,830.9,25.6,18.5,0,3,18.5,7.5,37.7,4.62963E-05,19.2,188,0,0.005706019,151.4,5,3,0,32.9,6.8,3.7,-3.4,1.3,0,0,159,10.6,3,0.29787234,24.48,80,15,12.22297065,4.988433085,17.07921209,0,10.89832621,9.037788408,54.22673045
CJ Olney,Activation,1,44418,Midfielder,5.4,130,1184.9,1245.5,6,8.7,79,83,0.3,0,0.3,1.5,0.4,0,2.9,0.3,1.4,0,7.4,17.6,0.010416667,4.62963E-05,2.31481E-05,22.1,3.1,0.001793981,0.004976852,0.003518519,5.78704E-05,3.47222E-05,0,5.5,247.5,882.7,25.9,23.1,0,3.9,23.1,8.7,43.6,4.62963E-05,20.5,8,0,0.0059375,144.3,5,5,0,34.2,6.3,3.9,-3.5,1.3,0,0,130,8.7,0,0.216374269,22.68,73.09008643,15,11.23122882,4.578794118,13.38879489,0,0,5.839763566,35.0385814
Gavin Wetzel,Activation,1,44418,Center Back,5.3,143.2,1157.3,1208.9,5.9,9.5,77.2,80.6,0.3,0,0.3,1.6,0.4,0,3,0.3,1.4,0,8.9,17.4,0.010416667,4.62963E-05,2.31481E-05,20.5,3.5,0.002314815,0.004537037,0.003425926,5.78704E-05,4.62963E-05,0,5,267.5,832.9,27.1,24.7,0,4.1,24.7,9.2,45.7,5.78704E-05,21,160,0,0.005717593,128.6,5,4,0,33,6.7,3.3,-3.2,1.3,0,0,143.2,9.5,0,0.26969697,24.12,73.62637363,15,12.65640953,10.80851627,15.76989514,0,0,7.846964187,47.08178512
Dominic Wilson,Activation,1,44418,Forward,5.1,129.3,1136.2,1176.6,5.7,8.6,75.7,78.4,0.3,0,0.1,0.9,0.4,0,2.8,0.4,1.9,0,8.9,17,0.010416667,4.62963E-05,0,18.5,1.1,0.002222222,0.004571759,0.00349537,6.94444E-05,2.31481E-05,0,3.4,257.9,830.5,31.5,12.8,0,2.2,12.8,8.8,41.4,6.94444E-05,28.6,44,0,0.005798611,128.8,5,2,0,33.4,6.1,2.9,-3.9,1.3,0,0,129.3,8.6,1,0.266467066,21.96,70.11494253,15,11.8091742,3.447345628,12.67602313,0,3.458415711,6.278191733,37.6691504
Jack Andrus,Rondos 4v2,2,44418,Fullback,5,187.9,995.5,1158.2,4.9,11.2,59.1,68.7,0.2,0.1,0,0,0,0,1.7,0.5,1.7,0.8,10.5,7.4,0.011701389,3.47222E-05,6.94444E-05,10.6,3.7,0.001875,0.008043981,0.001759259,0,0,0,5,629.5,360.5,0.4,0,0,0,0,8.3,29,9.25926E-05,29,680.1,49.9,0.007893519,331.2,9,23,0,40.5,4.2,2.9,-3.9,1,0,0,187.9,11.2,28,0.259259259,15.12,53.16455696,16.85,10.02568537,0,17.37296745,0,58.35984848,17.15170026,91.6114554
Henry Bernstein,Rondos 4v2,2,44418,Midfielder,4.8,167.6,981.1,1115.5,4.7,9.9,58.2,66.2,0.3,0,0,0,0,0,1.2,0.4,1.2,0.3,12.3,6.3,0.011701389,4.62963E-05,2.31481E-05,14.8,2.2,0.001481481,0.008576389,0.00162037,0,0,0,4,667.1,310,0,0,0,0,0,6.6,20.9,6.94444E-05,20.9,498.5,17.8,0.00787037,358.7,6,7,0,40.4,3.5,2.7,-2.9,1,0,0,167.6,9.9,15,0.304455446,12.6,45.45454545,16.85,9.669069675,0,14.23367041,0,21.11627094,9.003802204,48.09152513
Jack Brown,Rondos 4v2,2,44418,Midfielder,6.6,222,1349.9,1585.9,6.5,13.2,80.1,94.1,0.2,0.1,0,0,0.2,1.15741E-05,6.4,1.6,6.4,1.1,15.9,7.1,0.011701389,3.47222E-05,0.000127315,12.4,15,0.001018519,0.008020833,0.002592593,3.47222E-05,0,0,3.2,738.5,594,14,0,0,0,0,27.2,107.7,0.0003125,107.7,982.8,67.7,0.006550926,371.7,15,36,0,33.6,4.9,3.4,-4.2,1.3,0,0,222,13.2,35,0.473214286,17.64,59.03614458,16.85,12.32147722,0,18.59580186,0,65.41071088,19.26559799,102.9023038
Devon Decorte,Rondos 4v2,2,44418,Forward,6.5,190.5,1298.9,1500.4,6.4,11.3,77.1,89,0.2,0,0,0,0.1,0,3.2,0.9,3.2,0.8,14.6,10.2,0.011701389,2.31481E-05,8.10185E-05,10.4,7.4,0.001400463,0.007164352,0.003090278,1.15741E-05,0,0,2.2,622.3,666.2,8.2,0,0,0,0,14.4,53.9,0.000162037,53.9,769.1,46.3,0.006354167,290.6,10,26,0,32.6,4.6,2.8,-3.5,1.3,0,0,190.5,11.3,21,0.447852761,16.56,57.5,16.85,11.14363118,0,16.14915003,0,23.33333333,10.12522291,54.08130931
Jaden Francis,Rondos 4v2,2,44418,Forward,4.3,191.6,933.2,1079.5,4.3,11.4,55.4,64.1,0.5,0,0,0,0.1,0,2.9,0.8,2.9,0.6,10.1,4.1,0.011701389,9.25926E-05,6.94444E-05,21.2,6.6,0.001516204,0.009085648,0.001064815,1.15741E-05,0,0,6.2,689.3,232.4,5.3,0,0,0,0,13,49.6,0.000150463,49.6,576.9,35.6,0.008668981,428.8,16,19,0,44.5,4.8,3.4,-3.7,0.9,0,0,191.6,11.4,16,0.226966292,17.28,55.81395349,16.85,9.462100753,0,21.28888889,0,17.77777778,9.705753484,51.8408198
Antonio Horrozoglou,Rondos 4v2,2,44418,ATT Midfielder,5.3,168.7,1078.2,1228.6,5.2,10,64,72.9,0.5,0,0,0,0,0,1.6,0.5,1.6,0.5,12.9,7.2,0.011701389,8.10185E-05,3.47222E-05,10.8,2.3,0.001238426,0.0084375,0.002002315,0,0,0,3.4,669.7,405.2,0,0,0,0,0,8.3,27.4,9.25926E-05,27.4,722.8,28.5,0.00744213,348.9,12,15,0,38.2,3.6,2.9,-3.1,1.1,0,0,168.7,10,15,0.337696335,12.96,45.56962025,16.85,10.39896488,0,13.82367335,0,38.5657277,12.55767319,67.07362533
Daniel Krueger,Rondos 4v2,2,44418,Center Back,4.6,157.2,969.5,1075.1,4.5,9.3,57.5,63.8,0.1,0,0,0,0,0,1.5,0.4,1.5,0.6,11.7,5.9,0.011701389,2.31481E-05,5.78704E-05,7.6,2.3,0.001863426,0.008275463,0.001527778,0,0,0,3.5,657.7,305.4,2.8,0,0,0,0,6.4,25.2,6.94444E-05,25.2,836.8,35.6,0.008113426,371.7,6,6,0,41.6,4.4,2.6,-3.7,1,0,0,157.2,9.3,16,0.28125,15.84,51.1627907,16.85,10.98143298,0,17.12223202,0,52.58380414,16.13749383,86.19432905
Luke Martelli,Rondos 4v2,2,44418,Fullback,5.6,177.7,1115.7,1293.3,5.5,10.5,66.2,76.8,0.4,0.1,0,0,0,1.15741E-05,3.6,1,3.6,0.4,15.6,6.4,0.011701389,6.94444E-05,6.94444E-05,22.9,5.6,0.001377315,0.008344907,0.001956019,0,0,0,3.9,707.9,403.1,0.8,0,0,0,0,17.1,60.8,0.000196759,60.8,562.6,24.9,0.007002315,334.5,9,11,0,35.9,4.4,3,-3.7,1.1,0,0,177.7,10.5,10,0.43454039,15.84,50,16.85,10.17820374,0,15.82105675,0,31.61181062,11.52221422,61.54298397
Gabriel Oksanen,Rondos 4v2,2,44418,Fullback,5,178.2,1015.4,1168.7,5,10.6,60.3,69.4,0.1,0,0,0,0,0,1.9,0.6,1.9,0.9,13.4,7.1,0.011701389,2.31481E-05,4.62963E-05,7.5,5.2,0.002858796,0.006828704,0.001990741,0,0,0,4.5,601.4,409.5,0,0,0,0,0,9.4,32.9,0.000104167,32.9,794.1,53.4,0.007372685,263.3,9,22,0,37.8,4.1,2.6,-3.3,1,0,0,178.2,10.6,24,0.354497354,14.76,51.89873418,16.85,10.60566001,0,16.96408337,0,63.61189358,18.23632739,97.40471605
